authors	book_id	cover	subject	theme	name	kes1	kes2	kes3
Курдюмова Т.Ф., Леонов С.А., Марьина О.Б., Колокольцев Е.Н. и др. / Под ред. Курдюмовой Т.Ф.	25181	/system_2/attachments/files/000/071/288/preview/b009778.jpg	{'id': 33, 'name': 'Литература'}		Литература. 9 класс. Учебник. В 2-х частях. Часть 2	33	11	17
Курдюмова Т.Ф., Леонов С.А., Марьина О.Б., Колокольцев Е.Н. и др. / Под ред. Курдюмовой Т.Ф.	25181	/system_2/attachments/files/000/071/668/preview/9778.jpg	{'id': 33, 'name': 'Литература'}		Литература. 9 класс. Учебник. В 2-х частях. Часть 2	33	11	17
Курдюмова Т.Ф., Леонов С.А., Марьина О.Б., Колокольцев Е.Н. и др. / Под ред. Курдюмовой Т.Ф.	25181	/system_2/attachments/files/000/071/180/preview/b009778.jpg	{'id': 33, 'name': 'Литература'}		Литература. 9 класс. Учебник. В 2-х частях. Часть 2	33	11	17
Курдюмова Т.Ф., Леонов С.А., Марьина О.Б., Колокольцев Е.Н. и др. / Под ред. Курдюмовой Т.Ф.	25181	/system_2/attachments/files/000/071/166/preview/b009778.jpg	{'id': 33, 'name': 'Литература'}		Литература. 9 класс. Учебник. В 2-х частях. Часть 2	33	11	17
Ильина С.Ю.	25009	/system/attachments/files/000/061/668/preview/title.png	{'id': 3178, 'name': 'Литературное чтение'}		Литературное чтение	3178	11	18
Ильина С.Ю.	25009	/system/attachments/files/000/068/386/preview/title.png	{'id': 3178, 'name': 'Литературное чтение'}		Литературное чтение	3178	11	18
Ахромушкина И. М.	25276	/system_2/attachments/files/000/077/641/preview/Ahromushkina_Metodika_obucheniya.png	{'id': 58, 'name': 'Химия'}		Методика обучения химии: учебно-методическое пособие	58	12	19
Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова	24665	/system/attachments/files/000/060/878/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека	3199	13	20
Матвеева Н.Б.	24706	/system/attachments/files/000/061/535/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека	3199	13	20
Матвеева Н.Б.	24706	/system/attachments/files/000/068/396/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека	3199	13	20
Матвеева Н.Б.	24706	/system/attachments/files/000/061/148/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека	3199	13	20
Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова	24665	/system/attachments/files/000/061/531/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека	3199	13	20
Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова.	24664	/system/attachments/files/000/061/530/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека. Часть 1	3199	13	20
Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова.	24664	/system/attachments/files/000/060/877/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека. Часть 1	3199	13	20
Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова.	24664	/system_2/attachments/files/000/070/017/preview/title.png	{'id': 3199, 'name': 'Мир природы и человека'}		Мир природы и человека. Часть 1	3199	13	20
	24530	/system/attachments/files/000/060/042/preview/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%9C.png	{'id': 41, 'name': 'История'}		Москва: сегодня и завтра	41	14	21
	24530	/system/attachments/files/000/059/968/preview/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%9C.png	{'id': 41, 'name': 'История'}		Москва: сегодня и завтра	41	14	21
М. А. Членов, Г. А. Миндрина, А. В. Глоцер	24126	/system/attachments/files/000/057/381/preview/title.png	{'id': 14, 'name': 'Основы иудейской культуры'}		Основы иудейской культуры	14	15	22
М. А. Членов, Г. А. Миндрина, А. В. Глоцер	24126	/system/attachments/files/000/062/835/preview/title.png	{'id': 14, 'name': 'Основы иудейской культуры'}		Основы иудейской культуры	14	15	22
Шаповалова В. С., Челышева И. В.	25286	/system_2/attachments/files/000/077/660/preview/Proffess_samoopredelenie_obl.jpg	{'id': 19, 'name': 'Технология'}		Профессиональное самоопределение школьников: теория, история, практика : монография	19	16	23
